4.430,2315.000,112.000
4.450,2403.000,105.000
4.470,2340.000,91.000
4.490,2187.000,108.000
4.510,2121.000,102.000
4.530,2177.000,104.000
4.550,2003.000,90.000
4.570,2046.000,84.000
4.590,2090.000,97.000
4.610,2114.000,110.000
4.630,2021.000,83.000
4.650,2105.000,66.000
4.670,2012.000,68.000
4.690,2012.000,84.000
4.710,1897.000,68.000
4.730,1849.000,89.000
4.750,1836.000,78.000
4.770,1855.000,70.000
4.790,1894.000,76.000
4.810,1821.000,68.000
4.830,1780.000,71.000
4.850,1847.000,61.000
4.870,1715.000,86.000
4.890,1667.000,70.000
4.910,1623.000,61.000
4.930,1604.000,66.000
4.950,1451.000,64.000
4.970,1529.000,68.000
4.990,1478.000,69.000
5.010,1474.000,71.000
5.030,1439.000,56.000
5.050,1311.000,65.000
5.070,1341.000,55.000
5.090,1226.000,60.000
5.110,1276.000,63.000
5.130,1138.000,74.000
5.150,1148.000,61.000
5.170,1066.000,62.000
5.190,1019.000,55.000
5.210,922.000,52.000
5.230,904.000,76.000
5.250,908.000,62.000
5.270,858.000,61.000
5.290,766.000,56.000
5.310,771.000,55.000
5.330,667.000,52.000
5.350,621.000,50.000
5.370,651.000,60.000
5.390,586.000,49.000
5.410,532.000,59.000
5.430,513.000,54.000
5.450,468.000,59.000
5.470,461.000,42.000
5.490,415.000,54.000
5.510,401.000,54.000
5.530,369.000,45.000
5.550,346.000,48.000
5.570,313.000,37.000
5.590,321.000,44.000
5.610,257.000,39.000
5.630,257.000,40.000
5.650,240.000,51.000
5.670,264.000,40.000
5.690,239.000,48.000
5.710,209.000,54.000
5.730,191.000,38.000
5.750,197.000,54.000
5.770,208.000,27.000
5.790,223.000,45.000
5.810,206.000,48.000
5.830,168.000,48.000
5.850,159.000,39.000
5.870,180.000,46.000
5.890,179.000,39.000
5.910,151.000,38.000
5.930,178.000,43.000
5.950,179.000,41.000
5.970,157.000,56.000
5.990,158.000,52.000
6.010,120.000,53.000
6.030,155.000,39.000
6.050,139.000,57.000
6.070,137.000,55.000
6.090,117.000,40.000
6.110,131.000,39.000
6.130,122.000,38.000
6.150,115.000,36.000
6.170,129.000,30.000
6.190,107.000,44.000
6.210,117.000,39.000
6.230,124.000,24.000
6.250,105.000,36.000
6.270,107.000,29.000
6.290,96.000,35.000
6.310,95.000,38.000
6.330,83.000,48.000
6.350,83.000,33.000
6.370,88.000,34.000
6.390,96.000,34.000
6.410,88.000,43.000
6.430,93.000,31.000
6.450,79.000,59.000
6.470,94.000,30.000
6.490,76.000,37.000
6.510,79.000,45.000
6.530,70.000,52.000
6.550,90.000,45.000
6.570,66.000,41.000
6.590,79.000,28.000
6.610,74.000,21.000
6.630,70.000,35.000
6.650,75.000,29.000
6.670,68.000,42.000
6.690,81.000,38.000
6.710,74.000,24.000
6.730,55.000,24.000
6.750,64.000,56.000
6.770,52.000,39.000
6.790,51.000,41.000
6.810,50.000,44.000
6.830,52.000,41.000
6.850,46.000,34.000
6.870,48.000,37.000
6.890,46.000,47.000
6.910,70.000,31.000
6.930,55.000,42.000
6.950,59.000,32.000
6.970,41.000,40.000
6.990,41.000,22.000
7.010,25.000,19.000
7.030,51.000,23.000
7.050,59.000,32.000
7.070,50.000,32.000
7.090,53.000,35.000
7.110,44.000,48.000
7.130,47.000,28.000
7.150,58.000,29.000
7.170,44.000,37.000
7.190,42.000,28.000
7.210,42.000,42.000
7.230,49.000,31.000
7.250,51.000,20.000
7.270,20.000,22.000
7.290,38.000,31.000
7.310,59.000,36.000
7.330,45.000,31.000
7.350,45.000,36.000
7.370,47.000,26.000
7.390,43.000,33.000
7.410,44.000,17.000
7.430,30.000,39.000
7.450,42.000,33.000
7.470,41.000,19.000
7.490,43.000,29.000
7.510,33.000,34.000
7.530,38.000,29.000
7.550,37.000,27.000
7.570,42.000,33.000
7.590,39.000,35.000
7.610,36.000,33.000
7.630,32.000,29.000
7.650,34.000,18.000
7.670,41.000,24.000
7.690,48.000,19.000
7.710,37.000,32.000
7.730,36.000,29.000
7.750,40.000,35.000
7.770,43.000,24.000
7.790,44.000,43.000
7.810,39.000,37.000
7.830,33.000,29.000
7.850,31.000,21.000
7.870,37.000,34.000
7.890,39.000,27.000
7.910,41.000,24.000
7.930,26.000,24.000
7.950,23.000,13.000
7.970,31.000,20.000
7.990,31.000,25.000
8.010,24.000,29.000
8.030,47.000,24.000
8.050,32.000,20.000
8.070,19.000,24.000
8.090,25.000,38.000
8.110,30.000,31.000
8.130,25.000,27.000
8.150,35.000,43.000
8.170,38.000,28.000
8.190,37.000,19.000
8.210,36.000,36.000
8.230,36.000,18.000
8.250,20.000,22.000
8.270,22.000,20.000
8.290,22.000,14.000
8.310,30.000,33.000
8.330,32.000,30.000
8.350,30.000,12.000
8.370,26.000,31.000
8.390,26.000,29.000
8.410,31.000,17.000
8.430,25.000,25.000
8.450,24.000,30.000
8.470,23.000,32.000
8.490,19.000,24.000
8.510,28.000,18.000
8.530,26.000,17.000
8.550,17.000,28.000
8.570,17.000,24.000
8.590,18.000,30.000
