514.45	0	501.765	0
516.71	2	503.927	0
518.97	0	506.089	0
521.23	0	508.251	2
523.49	0	510.413	0
525.75	2	512.575	0
528.01	2	514.737	0
530.27	2	516.899	0
532.53	0	519.061	0
534.79	0	521.223	1
537.05	1	523.385	1
539.31	1	525.547	0
541.57	0	527.709	2
543.83	0	529.871	0
546.09	0	532.033	0
548.35	0	534.195	0
550.61	0	536.357	0
552.87	0	538.519	0
555.13	0	540.681	0
557.39	1	542.843	0
559.65	2	545.005	0
561.91	1	547.167	2
564.17	0	549.329	2
566.43	0	551.491	0
568.69	1	553.653	0
570.95	2	555.815	0
573.21	1	557.977	2
575.47	1	560.139	0
577.73	0	562.301	0
579.99	0	564.463	0
582.25	0	566.625	0
584.51	0	568.787	0
586.77	0	570.949	0
589.03	0	573.111	0
591.29	0	575.273	0
593.55	0	577.435	0
595.81	0	579.597	2
598.07	0	581.759	0
600.33	0	583.921	0
602.59	0	586.083	0
604.85	0	588.245	0
607.11	0	590.407	0
609.37	0	592.569	0
611.63	0	594.731	0
613.89	2	596.893	0
616.15	1	599.055	0
618.41	3	601.217	0
620.67	0	603.379	0
622.93	1	605.541	0
625.19	1	607.703	0
627.45	0	609.865	0
629.71	0	612.027	0
631.97	0	614.189	0
634.23	1	616.351	0
636.49	2	618.513	0
638.75	0	620.675	0
641.01	0	622.837	0
643.27	1	624.999	0
645.53	1	627.161	0
647.79	0	629.323	0
650.05	0	631.485	0
652.31	0	633.647	0
654.57	0	635.809	0
656.83	0	637.971	0
659.09	1	640.133	0
661.35	0	642.295	2
663.61	0	644.457	0
665.87	1	646.619	0
668.13	1	648.781	0
670.39	0	650.943	0
672.65	0	653.105	0
674.91	1	655.267	0
677.17	0	657.429	0
679.43	3	659.591	0
681.69	1	661.753	0
683.95	0	663.915	0
686.21	0	666.077	0
688.47	0	668.239	0
690.73	0	670.401	2
692.99	0	672.563	0
695.25	0	674.725	0
697.51	0	676.887	2
699.77	1	679.049	0
702.03	0	681.211	0
704.29	0	683.373	0
706.55	0	685.535	0
708.81	0	687.697	0
711.07	0	689.859	0
713.33	2	692.021	0
715.59	0	694.183	0
717.85	0	696.345	0
720.11	0	698.507	0
722.37	0	700.669	0
724.63	0	702.831	0
726.89	0	704.993	0
729.15	0	707.155	0
731.41	0	709.317	0
733.67	1	711.479	2
735.93	1	713.641	0
738.19	0	715.803	0
740.45	0	717.965	0
742.71	0	720.127	0
744.97	0	722.289	0
747.23	0	724.451	0
749.49	0	726.613	0
751.75	0	728.775	0
754.01	0	730.937	0
756.27	0	733.099	0
758.53	0	735.261	0
760.79	0	737.423	0
763.05	1	739.585	0
765.31	1	741.747	0
767.57	0	743.909	2
769.83	0	746.071	0
772.09	0	748.233	0
774.35	0	750.395	0
776.61	1	752.557	0
778.87	1	754.719	0
781.13	0	756.881	0
783.39	0	759.043	0
785.65	0	761.205	0
787.91	0	763.367	0
790.17	0	765.529	0
792.43	0	767.691	0
794.69	0	769.853	0
796.95	0	772.015	0
799.21	0	774.177	0
801.47	0	776.339	0
803.73	0	778.501	0
805.99	0	780.663	0
808.25	0	782.825	0
810.51	0	784.987	0
812.77	0	787.149	0
815.03	0	789.311	0
817.29	0	791.473	0
819.55	0	793.635	0
821.81	0	795.797	0
824.07	0	797.959	0
826.33	0	800.121	0
828.59	0	802.283	0
830.85	0	804.445	0
833.11	0	806.607	0
835.37	0	808.769	0
837.63	0	810.931	0
839.89	0	813.093	0
842.15	0	815.255	0
844.41	0	817.417	0
846.67	0	819.579	0
848.93	0	821.741	0
851.19	0	823.903	2
853.45	0	826.065	0
855.71	0	828.227	1
857.97	0	830.389	1
860.23	0	832.551	0
862.49	0	834.713	2
864.75	0	836.875	0
867.01	0	839.037	0
869.27	0	841.199	0
871.53	0	843.361	0
873.79	0	845.523	0
876.05	0	847.685	0
878.31	0	849.847	0
880.57	0	852.009	0
882.83	0	854.171	0
885.09	0	856.333	0
887.35	0	858.495	0
889.61	0	860.657	0
891.87	0	862.819	0
894.13	0	864.981	0
896.39	0	867.143	0
898.65	2	869.305	0
900.91	0	871.467	0
903.17	0	873.629	0
905.43	0	875.791	0
907.69	0	877.953	0
909.95	0	880.115	0
912.21	0	882.277	0
914.47	0	884.439	0
916.73	0	886.601	0
918.99	0	888.763	0
921.25	0	890.925	0
923.51	0	893.087	0
925.77	0	895.249	2
928.03	0	897.411	0
930.29	0	899.573	0
932.55	0	901.735	0
934.81	0	903.897	0
937.07	0	906.059	0
939.33	0	908.221	0
941.59	0	910.383	0
943.85	0	912.545	0
946.11	0	914.707	1
948.37	1	916.869	1
950.63	1	919.031	1
952.89	0	921.193	1
955.15	0	923.355	0
957.41	0	925.517	0
959.67	0	927.679	1
961.93	0	929.841	1
964.19	0	932.003	0
966.45	0	934.165	0
968.71	2	936.327	0
970.97	0	938.489	0
973.23	0	940.651	0
975.49	0	942.813	0
977.75	0	944.975	0
980.01	0	947.137	0
982.27	0	949.299	0
984.53	0	951.461	0
986.79	0	953.623	0
989.05	0	955.785	0
991.31	0	957.947	0
993.57	0	960.109	0
995.83	0	962.271	0
998.09	0	964.433	0
1000.35	0	966.595	0
1002.61	0	968.757	0
1004.87	1	970.919	0
1007.13	1	973.081	0
1009.39	0	975.243	0
1011.65	0	977.405	0
1013.91	0	979.567	0
1016.17	0	981.729	4
1018.43	0	983.891	2
1020.69	0	986.053	0
1022.95	0	988.215	0
1025.21	0	990.377	0
1027.47	0	992.539	0
1029.73	0	994.701	0
1031.99	0	996.863	0
1034.25	0	999.025	0
1036.51	0	1001.187	0
1038.77	0	1003.349	0
1041.03	0	1005.511	2
1043.29	0	1007.673	0
1045.55	0	1009.835	0
1047.81	0	1011.997	0
1050.07	0	1014.159	0
1052.33	0	1016.321	2
1054.59	0	1018.483	0
1056.85	0	1020.645	0
1059.11	0	1022.807	0
1061.37	0	1024.969	0
1063.63	0	1027.131	0
1065.89	0	1029.293	0
1068.15	0	1031.455	0
1070.41	0	1033.617	0
1072.67	0	1035.779	0
1074.93	0	1037.941	0
1077.19	0	1040.103	2
1079.45	0	1042.265	0
1081.71	0	1044.427	0
1083.97	0	1046.589	0
1086.23	0	1048.751	0
1088.49	0	1050.913	0
1090.75	0	1053.075	0
1093.01	0	1055.237	0
1095.27	0	1057.399	0
1097.53	0	1059.561	0
1099.79	0	1061.723	0
1102.05	0	1063.885	0
1104.31	0	1066.047	0
1106.57	0	1068.209	0
1108.83	0	1070.371	0
1111.09	0	1072.533	0
1113.35	0	1074.695	0
1115.61	0	1076.857	0
1117.87	0	1079.019	0
