1	0.65	13.454	9.65
2	0.65	13.032	6.85
3	0.65	12.975	6.56
4	0.65	12.658	4.07
5	0.65	12.241	1.7
6	0.65	12.006	1.3
7	0.65	11.487	1.03
8	0.65	10.517	0.76
9	0.65	9	0.66
10	0.65	8.5	0.66
10.499	0.75	8	0.66
11.065	0.88	7.5	0.66
11.985	1.33	7	0.66
12.608	3.8	6.5	0.66
12.774	5.07	6	0.66
13.215	8.45	5	0.66
13.42	9.87	4	0.66
13.529	10.53	3	0.66
13.547	21.6	2	0.66
