-0.0000012,0.1193,0.0012,0
-0.000002,0.1381234,0.002,1
-0.000002,0.1569468,0.002,2
-0.0000019,0.1757702,0.0019,3
-0.000002,0.0784,0.002,4
-0.000002,0.098,0.002,5
-0.000002,0.1176,0.002,6
-0.000002,0.1372,0.002,7
-0.000002,0.1568,0.002,8
-0.000002,0.1764,0.002,9
-0.000002,0.196,0.002,10
-0.000002,0.2156,0.002,11
-0.000002,0.2352,0.002,12
-0.000002,0.2548,0.002,13
-0.000002,0.2744,0.002,14
-0.000002,0.294,0.002,15
-0.000002,0.3136,0.002,16
-0.0000019,0.3332,0.0019,17
-0.0000019,0.3528,0.0019,18
-0.0000018,0.3724,0.0018,19
-0.0000019,0.392,0.0019,20
-0.0000019,0.4116,0.0019,21
-0.000002,0.4312,0.002,22
-0.000002,0.4508,0.002,23
-0.000002,0.4704,0.002,24
-0.000002,0.49,0.002,25
-0.000002,0.5096,0.002,26
-0.000002,0.5292,0.002,27
-0.000002,0.5488,0.002,28
-0.000002,0.5684,0.002,29
-0.000002,0.588,0.002,30
-0.000002,0.6076,0.002,31
-0.000002,0.6272,0.002,32
-0.000002,0.6468,0.002,33
-0.000002,0.6664,0.002,34
-0.000002,0.686,0.002,35
-0.000002,0.7056,0.002,36
-0.000002,0.7252,0.002,37
-0.000002,0.7448,0.002,38
-0.000002,0.7644,0.002,39
-0.000002,0.784,0.002,40
-0.000002,0.8036,0.002,41
-0.000002,0.8232,0.002,42
-0.000002,0.8428,0.002,43
-0.000002,0.8624,0.002,44
-0.000002,0.882,0.002,45
-0.0000019,0.9016,0.0019,46
-0.0000019,0.9212,0.0019,47
-0.0000019,0.9408,0.0019,48
-0.000002,0.9604,0.002,49
-0.000002,0.98,0.002,50
-0.000002,0.9996,0.002,51
-0.000002,1.0192,0.002,52
-0.000002,1.0388,0.002,53
-0.000002,1.0584,0.002,54
-0.000002,1.078,0.002,55
-0.000002,1.0976,0.002,56
-0.000002,1.1172,0.002,57
-0.000002,1.1368,0.002,58
-0.000002,1.1564,0.002,59
-0.000002,1.176,0.002,60
-0.000002,1.1956,0.002,61
-0.000002,1.2152,0.002,62
-0.000002,1.2348,0.002,63
-0.000002,1.2544,0.002,64
-0.000002,1.274,0.002,65
-0.000002,1.2936,0.002,66
-0.000002,1.3132,0.002,67
-0.000002,1.3328,0.002,68
-0.0000019,1.3524,0.0019,69
-0.0000019,1.372,0.0019,70
-0.0000019,1.3916,0.0019,71
-0.000002,1.4112,0.002,72
-0.000002,1.4308,0.002,73
-0.000002,1.4504,0.002,74
-0.000002,1.47,0.002,75
-0.000002,1.4896,0.002,76
-0.000002,1.5092,0.002,77
-0.000002,1.5288,0.002,78
-0.000002,1.5484,0.002,79
-0.000002,1.568,0.002,80
-0.000002,1.5876,0.002,81
-0.0000019,1.6072,0.0019,82
-0.000002,1.6268,0.002,83
-0.000002,1.6464,0.002,84
-0.000002,1.666,0.002,85
-0.000002,1.6856,0.002,86
-0.000002,1.7052,0.002,87
-0.000002,1.7248,0.002,88
-0.000002,1.7444,0.002,89
-0.000002,1.764,0.002,90
-0.000002,1.7836,0.002,91
-0.000002,1.8032,0.002,92
-0.000002,1.8228,0.002,93
-0.000002,1.8424,0.002,94
-0.000002,1.862,0.002,95
-0.000002,1.8816,0.002,96
-0.000002,1.9012,0.002,97
-0.000002,1.9208,0.002,98
-0.000002,1.9404,0.002,99
-0.000002,1.96,0.002,100
-0.000002,1.9796,0.002,101
-0.000002,1.9992,0.002,102
-0.000002,2.0188,0.002,103
-0.000002,2.0384,0.002,104
-0.000002,2.058,0.002,105
-0.000002,2.0776,0.002,106
-0.000002,2.0972,0.002,107
-0.000002,2.1168,0.002,108
-0.000002,2.1364,0.002,109
-0.000002,2.156,0.002,110
-0.000002,2.1756,0.002,111
-0.000002,2.1952,0.002,112
-0.000002,2.2148,0.002,113
-0.000002,2.2344,0.002,114
-0.000002,2.254,0.002,115
-0.000002,2.2736,0.002,116
-0.000002,2.2932,0.002,117
-0.000002,2.3128,0.002,118
-0.000002,2.3324,0.002,119
-0.000002,2.352,0.002,120
-0.000002,2.3716,0.002,121
-0.000002,2.3912,0.002,122
-0.0000021,2.4108,0.0021,123
-0.0000022,2.4304,0.0022,124
-0.0000024,2.45,0.0024,125
-0.0000027,2.4696,0.0027,126
-0.0000031,2.4892,0.0031,127
-0.0000036,2.5088,0.0036,128
-0.0000042,2.5284,0.0042,129
-0.000005,2.548,0.005,130
-0.0000058,2.5676,0.0058,131
-0.0000067,2.5872,0.0067,132
-0.0000077,2.6068,0.0077,133
-0.0000087,2.6264,0.0087,134
-0.0000097,2.646,0.0097,135
-0.0000107,2.6656,0.0107,136
-0.0000118,2.6852,0.0118,137
-0.0000129,2.7048,0.0129,138
-0.000014,2.7244,0.014,139
-0.0000151,2.744,0.0151,140
-0.0000162,2.7636,0.0162,141
-0.0000174,2.7832,0.0174,142
-0.0000185,2.8028,0.0185,143
-0.0000196,2.8224,0.0196,144
-0.0000208,2.842,0.0208,145
-0.0000219,2.8616,0.0219,146
-0.000023,2.8812,0.023,147
-0.0000242,2.9008,0.0242,148
-0.0000253,2.9204,0.0253,149
-0.0000265,2.94,0.0265,150
-0.0000276,2.9596,0.0276,151
-0.0000288,2.9792,0.0288,152
-0.0000299,2.9988,0.0299,153
-0.0000311,3.0184,0.0311,154
-0.0000322,3.038,0.0322,155
-0.0000333,3.0576,0.0333,156
-0.0000345,3.0772,0.0345,157
-0.0000356,3.0968,0.0356,158
-0.0000367,3.1164,0.0367,159
